Model,Single Loan (ms),"1,000 Loans (ms)","10,000 Loans (ms)",Throughput (loans/sec)
Logistic Regression,0.5168673200023477,0.385731799997302,2.9987246000018786,3334751.047159761
Decision Tree,0.37698936000197136,0.31012740000733174,1.4176089999637043,7054131.287439651
Random Forest,50.47516233999886,79.36845479998738,177.22857199996724,56424.31063543099
XGBoost,0.66934301999936,6.964553199941292,62.78424079991965,159275.63784466113
LightGBM,1.0774955500028227,14.580671800013079,137.34924419995878,72807.0988540831
MLP (neural net),0.17738257000019075,0.7439667999278754,5.757441399964591,1736882.6368013925
Multi-agent: Majority Vote,3.40820631999577,6.606841199936753,37.87539999993896,264023.61427248595
Multi-agent: Mean Probability,3.073537010000109,6.481265000002168,37.59446880003452,265996.57660253515
Multi-agent: Weighted Vote,2.7605259800020576,6.242227399980038,38.03001620008217,262950.1903808916
MOLOA (5 agents + LAR),4.067772389998936,8.089701399967453,104.084672999943,96075.62489056845
